indicatorId,geoUnit,year,value,qualifier,magnitude
GER.3.F,NPL,2020,75.6589584350586,,
GER.3.F,NPL,2021,74.94055163802754,,
GER.3.F,NPL,2022,72.59885756987147,,
GER.3.F,NPL,2023,79.88696666558496,,
GER.3.F,NPL,2024,78.66495798026293,,
GER.3.M,NPL,2000,24.44879913330078,,
GER.3.M,NPL,2001,30.17864036560059,,
GER.3.M,NPL,2002,33.65620040893555,,
GER.3.M,NPL,2003,34.20893859863281,,
GER.3.M,NPL,2005,27.42624092102051,UIS_EST,
GER.3.M,NPL,2006,26.13939094543457,UIS_EST,
GER.3.M,NPL,2007,28.85854911804199,UIS_EST,
GER.3.M,NPL,2008,34.11323928833008,UIS_EST,
GER.3.M,NPL,2009,37.10654830932617,UIS_EST,
GER.3.M,NPL,2010,40.05157852172852,UIS_EST,
GER.3.M,NPL,2011,41.97758102416992,UIS_EST,
GER.3.M,NPL,2012,43.81884002685547,UIS_EST,
GER.3.M,NPL,2013,46.72322845458984,UIS_EST,
GER.3.M,NPL,2014,48.28144073486328,UIS_EST,
GER.3.M,NPL,2015,48.75075149536133,UIS_EST,
GER.3.M,NPL,2016,51.94718170166016,UIS_EST,
GER.3.M,NPL,2017,53.02901840209961,UIS_EST,
GER.3.M,NPL,2019,59.09780120849609,,
GER.3.M,NPL,2020,70.75627136230469,,
GER.3.M,NPL,2021,69.92490311055694,,
GER.3.M,NPL,2022,70.3147667877923,,
GER.3.M,NPL,2023,77.31072584622653,,
GER.3.M,NPL,2024,76.7449457583336,,
